customerEmail,paymentMethodId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType
brittanyhicks@jones.com,ti77llxpi,Bulwark Trust Corp.,Diners Club / Carte Blanche,True,card
deborah38@yahoo.com,kzpdmdk05,o,VISA 16 digit,False,card
andre74@patrick-decker.com,z4jrvn93k,Bastion Banks,JCB 16 digit,False,card
andre74@patrick-decker.com,sncnkxatz,Her Majesty Trust,VISA 16 digit,False,paypal
andre74@patrick-decker.com,ru0jjkjlt,Grand Credit Corporation,JCB 16 digit,False,card
andre74@patrick-decker.com,6umtakhhu,Her Majesty Trust,VISA 16 digit,False,apple pay
patrickcalderon@russo.net,sptgc1wgt,Her Majesty Trust,American Express,False,apple pay
mitchellvickie@brewer-jones.com,x644o186l,His Majesty Bank Corp.,JCB 16 digit,False,card
sbrown@hughes.biz,wsy5c41nf,B,Voyager,False,card
sbrown@hughes.biz,vmktpy2mv,o,Discover,False,card
sbrown@hughes.biz,usu93euvb,x,Voyager,False,card
johnlowery@gmail.com,j3foo2l16,Vertex Bancorp,JCB 16 digit,False,card
johnlowery@gmail.com,xpd7j7c5g,Fountain Financial Inc.,JCB 16 digit,False,card
ethompson@jackson-sanders.com,b3jl38c9g,Bastion Banks,Diners Club / Carte Blanche,False,card
ethompson@jackson-sanders.com,kcg6rzgch,Citizens First Banks,Maestro,False,card
ethompson@jackson-sanders.com,pj3k9zcc7,Solace Banks,JCB 16 digit,False,bitcoin
ethompson@jackson-sanders.com,hx496w5tf,Vertex Bancorp,VISA 16 digit,False,apple pay
ethompson@jackson-sanders.com,oycs53i0s,Citizens First Banks,Voyager,False,card
ethompson@jackson-sanders.com,1tmkeoxbm,Bulwark Trust Corp.,American Express,False,card
dawn05@tucker-brown.com,f0xnu5om9,His Majesty Bank Corp.,JCB 16 digit,False,card
dawn05@tucker-brown.com,3zmkegkb8,Bastion Banks,JCB 15 digit,False,paypal
dawn05@tucker-brown.com,7yen1m1q8,Vertex Bancorp,VISA 13 digit,False,card
dawn05@tucker-brown.com,rh7676yct,Citizens First Banks,VISA 13 digit,True,apple pay
